subscriber_id,segment_truth,days_since_last_visit,purchase_count_90d,avg_order_value,last_category,subscribe_channel,is_loyalty_member,state,last_engagement_date
sub_00000,price_sensitive,24,5,101.17,home,paid_social,True,OH,2026-04-07
sub_00001,high_intent_browser,6,1,44.36,beauty,popup,False,CA,2026-04-25
sub_00002,post_purchase,9,5,21.6,wellness,paid_social,False,FL,2026-04-22
sub_00003,high_intent_browser,1,1,23.76,beauty,paid_social,True,IL,2026-04-30
sub_00004,vip_loyalist,11,18,602.8,apparel,paid_social,True,NY,2026-04-20
sub_00005,vip_loyalist,10,14,511.49,wellness,referral,True,WA,2026-04-21
sub_00006,price_sensitive,24,3,65.2,beauty,popup,False,OH,2026-04-07
sub_00007,price_sensitive,22,3,94.53,wellness,popup,True,MA,2026-04-09
sub_00008,high_intent_browser,2,2,0,apparel,paid_social,False,WA,2026-04-29
sub_00009,price_sensitive,26,2,95.78,electronics,popup,False,IL,2026-04-05
sub_00010,price_sensitive,16,3,50.92,kids,referral,False,MA,2026-04-15
sub_00011,post_purchase,3,2,276.41,home,checkout_optin,False,PA,2026-04-28
sub_00012,high_intent_browser,5,0,35.26,electronics,popup,False,MA,2026-04-26
sub_00013,vip_loyalist,16,34,324.15,wellness,loyalty_signup,True,MA,2026-04-15
sub_00014,winback_dormant,79,5,225.52,beauty,checkout_optin,False,CA,2026-02-11
sub_00015,price_sensitive,20,2,51.52,apparel,checkout_optin,False,WA,2026-04-11
sub_00016,new_subscriber,2,0,62.16,kids,popup,False,OH,2026-04-29
sub_00017,price_sensitive,4,3,74.01,kids,referral,True,NY,2026-04-27
sub_00018,winback_dormant,77,9,178.78,wellness,checkout_optin,False,WA,2026-02-13
sub_00019,new_subscriber,2,0,40.11,electronics,checkout_optin,False,WA,2026-04-29
sub_00020,new_subscriber,2,0,0,electronics,referral,False,TX,2026-04-29
sub_00021,high_intent_browser,5,0,46.47,kids,checkout_optin,False,FL,2026-04-26
sub_00022,winback_dormant,73,8,195.18,wellness,loyalty_signup,False,NY,2026-02-17
sub_00023,new_subscriber,2,0,51.69,beauty,loyalty_signup,False,OH,2026-04-29
sub_00024,vip_loyalist,5,21,282.67,beauty,checkout_optin,True,MA,2026-04-26
sub_00025,new_subscriber,1,0,55.91,home,popup,False,IL,2026-04-30
sub_00026,price_sensitive,21,6,32.0,kids,loyalty_signup,False,WA,2026-04-10
sub_00027,high_intent_browser,8,1,46.81,home,checkout_optin,False,GA,2026-04-23
sub_00028,post_purchase,3,5,149.04,kids,popup,False,FL,2026-04-28
sub_00029,price_sensitive,15,5,116.66,home,popup,False,MA,2026-04-16
sub_00030,price_sensitive,17,3,120.57,apparel,checkout_optin,False,PA,2026-04-14
sub_00031,post_purchase,16,7,244.12,electronics,loyalty_signup,False,OH,2026-04-15
sub_00032,high_intent_browser,10,1,22.39,beauty,referral,False,FL,2026-04-21
sub_00033,post_purchase,4,5,191.73,home,paid_social,False,GA,2026-04-27
sub_00034,price_sensitive,4,3,114.48,electronics,paid_social,False,OH,2026-04-27
sub_00035,price_sensitive,22,5,46.04,wellness,checkout_optin,False,CA,2026-04-09
sub_00036,post_purchase,8,2,146.5,beauty,referral,False,NY,2026-04-23
sub_00037,vip_loyalist,9,17,1306.28,wellness,referral,True,NY,2026-04-22
sub_00038,post_purchase,9,5,170.64,electronics,paid_social,True,NY,2026-04-22
sub_00039,price_sensitive,18,2,39.94,wellness,checkout_optin,False,PA,2026-04-13
sub_00040,vip_loyalist,14,12,857.62,home,paid_social,True,FL,2026-04-17
sub_00041,post_purchase,11,5,167.05,electronics,loyalty_signup,True,FL,2026-04-20
sub_00042,price_sensitive,19,5,105.47,kids,loyalty_signup,True,TX,2026-04-12
sub_00043,winback_dormant,140,10,486.61,electronics,referral,False,FL,2025-12-12
sub_00044,high_intent_browser,2,1,28.86,home,popup,False,CA,2026-04-29
sub_00045,price_sensitive,22,1,78.01,electronics,loyalty_signup,False,IL,2026-04-09
sub_00046,vip_loyalist,24,32,1120.89,apparel,popup,True,IL,2026-04-07
sub_00047,high_intent_browser,0,1,28.83,beauty,referral,False,IL,2026-05-01
sub_00048,price_sensitive,9,3,36.09,home,popup,False,TX,2026-04-22
sub_00049,price_sensitive,18,7,98.72,kids,popup,False,NY,2026-04-13
sub_00050,new_subscriber,3,0,36.92,wellness,referral,False,IL,2026-04-28
sub_00051,new_subscriber,3,1,42.38,apparel,checkout_optin,False,TX,2026-04-28
sub_00052,high_intent_browser,4,1,35.86,wellness,checkout_optin,False,CA,2026-04-27
sub_00053,winback_dormant,63,9,224.88,wellness,paid_social,False,OH,2026-02-27
sub_00054,price_sensitive,21,3,79.51,electronics,paid_social,False,MA,2026-04-10
sub_00055,winback_dormant,58,8,291.58,beauty,loyalty_signup,False,TX,2026-03-04
sub_00056,price_sensitive,16,4,73.53,kids,loyalty_signup,False,CA,2026-04-15
sub_00057,high_intent_browser,5,2,5.27,kids,loyalty_signup,False,IL,2026-04-26
sub_00058,high_intent_browser,5,1,51.65,home,paid_social,False,CA,2026-04-26
sub_00059,winback_dormant,95,7,316.16,apparel,loyalty_signup,False,PA,2026-01-26
sub_00060,high_intent_browser,4,0,36.25,apparel,checkout_optin,False,CA,2026-04-27
sub_00061,price_sensitive,14,3,108.6,apparel,paid_social,False,TX,2026-04-17
sub_00062,new_subscriber,2,0,23.05,electronics,checkout_optin,False,GA,2026-04-29
sub_00063,new_subscriber,3,1,44.03,wellness,referral,False,OH,2026-04-28
sub_00064,high_intent_browser,2,0,51.09,kids,paid_social,False,FL,2026-04-29
sub_00065,high_intent_browser,1,2,41.48,apparel,referral,False,OH,2026-04-30
sub_00066,high_intent_browser,7,1,35.47,electronics,popup,False,OH,2026-04-24
sub_00067,post_purchase,10,7,186.71,kids,referral,False,NY,2026-04-21
sub_00068,post_purchase,8,8,152.25,electronics,referral,False,NY,2026-04-23
sub_00069,price_sensitive,28,2,14.27,wellness,checkout_optin,True,TX,2026-04-03
sub_00070,price_sensitive,11,1,52.41,electronics,popup,False,NY,2026-04-20
sub_00071,new_subscriber,2,0,22.04,wellness,loyalty_signup,False,PA,2026-04-29
sub_00072,new_subscriber,4,0,32.2,electronics,popup,False,NY,2026-04-27
sub_00073,post_purchase,9,7,124.78,home,referral,False,FL,2026-04-22
sub_00074,high_intent_browser,7,1,33.78,wellness,paid_social,False,NY,2026-04-24
sub_00075,new_subscriber,4,0,72.11,electronics,referral,True,CA,2026-04-27
sub_00076,winback_dormant,78,5,203.7,electronics,loyalty_signup,True,WA,2026-02-12
sub_00077,high_intent_browser,2,1,1.55,apparel,checkout_optin,False,IL,2026-04-29
sub_00078,high_intent_browser,6,1,39.78,electronics,loyalty_signup,False,IL,2026-04-25
sub_00079,high_intent_browser,4,1,22.63,beauty,checkout_optin,False,MA,2026-04-27
sub_00080,vip_loyalist,13,29,1699.36,kids,referral,True,OH,2026-04-18
sub_00081,vip_loyalist,9,21,717.08,kids,referral,True,PA,2026-04-22
sub_00082,new_subscriber,4,1,0,wellness,checkout_optin,False,MA,2026-04-27
sub_00083,price_sensitive,19,3,115.89,kids,loyalty_signup,False,FL,2026-04-12
sub_00084,price_sensitive,11,3,74.58,beauty,paid_social,False,PA,2026-04-20
sub_00085,vip_loyalist,14,14,961.31,electronics,referral,True,TX,2026-04-17
sub_00086,vip_loyalist,12,27,499.99,home,loyalty_signup,True,GA,2026-04-19
sub_00087,high_intent_browser,4,3,39.45,electronics,referral,False,FL,2026-04-27
sub_00088,price_sensitive,16,4,50.35,beauty,paid_social,False,FL,2026-04-15
sub_00089,high_intent_browser,10,1,24.59,kids,referral,False,IL,2026-04-21
sub_00090,post_purchase,8,4,247.82,electronics,paid_social,False,NY,2026-04-23
sub_00091,price_sensitive,20,6,38.05,electronics,referral,False,NY,2026-04-11
sub_00092,high_intent_browser,8,3,60.34,kids,referral,True,CA,2026-04-23
sub_00093,high_intent_browser,7,1,51.13,apparel,loyalty_signup,False,IL,2026-04-24
sub_00094,vip_loyalist,4,27,1141.34,wellness,checkout_optin,True,MA,2026-04-27
sub_00095,high_intent_browser,5,1,34.19,wellness,loyalty_signup,False,IL,2026-04-26
sub_00096,winback_dormant,46,3,140.5,beauty,popup,False,IL,2026-03-16
sub_00097,high_intent_browser,5,1,69.17,kids,referral,True,FL,2026-04-26
sub_00098,new_subscriber,3,0,50.53,electronics,loyalty_signup,False,FL,2026-04-28
sub_00099,high_intent_browser,5,0,67.62,apparel,checkout_optin,False,FL,2026-04-26
sub_00100,price_sensitive,20,2,74.81,home,popup,False,PA,2026-04-11
sub_00101,new_subscriber,4,0,22.79,kids,popup,False,TX,2026-04-27
sub_00102,winback_dormant,102,9,126.19,kids,popup,False,PA,2026-01-19
sub_00103,post_purchase,6,7,64.04,apparel,checkout_optin,False,TX,2026-04-25
sub_00104,new_subscriber,1,0,24.34,home,loyalty_signup,False,NY,2026-04-30
sub_00105,high_intent_browser,7,0,51.0,apparel,paid_social,False,FL,2026-04-24
sub_00106,price_sensitive,18,2,69.63,kids,referral,False,OH,2026-04-13
sub_00107,post_purchase,6,5,202.4,electronics,popup,False,FL,2026-04-25
sub_00108,post_purchase,8,4,164.56,apparel,loyalty_signup,False,NY,2026-04-23
sub_00109,post_purchase,8,4,187.3,wellness,popup,False,WA,2026-04-23
sub_00110,winback_dormant,77,14,55.72,apparel,popup,False,NY,2026-02-13
sub_00111,price_sensitive,10,7,43.37,electronics,loyalty_signup,False,PA,2026-04-21
sub_00112,high_intent_browser,4,1,48.5,kids,checkout_optin,False,WA,2026-04-27
sub_00113,post_purchase,6,1,169.89,wellness,popup,False,MA,2026-04-25
sub_00114,new_subscriber,3,0,56.69,home,checkout_optin,False,NY,2026-04-28
sub_00115,winback_dormant,105,8,265.9,apparel,referral,False,PA,2026-01-16
sub_00116,high_intent_browser,6,1,44.93,wellness,popup,False,IL,2026-04-25
sub_00117,price_sensitive,14,2,52.19,kids,loyalty_signup,False,FL,2026-04-17
sub_00118,high_intent_browser,5,1,44.45,apparel,referral,False,FL,2026-04-26
sub_00119,vip_loyalist,10,23,1617.37,kids,referral,True,CA,2026-04-21
sub_00120,high_intent_browser,1,1,55.9,apparel,loyalty_signup,False,CA,2026-04-30
sub_00121,high_intent_browser,1,2,31.09,apparel,loyalty_signup,False,TX,2026-04-30
sub_00122,price_sensitive,17,6,79.48,wellness,paid_social,False,CA,2026-04-14
sub_00123,price_sensitive,16,4,82.03,home,popup,False,FL,2026-04-15
sub_00124,post_purchase,9,3,72.45,apparel,checkout_optin,True,PA,2026-04-22
sub_00125,vip_loyalist,16,25,926.08,electronics,paid_social,True,TX,2026-04-15
sub_00126,new_subscriber,3,0,28.96,home,loyalty_signup,False,CA,2026-04-28
sub_00127,price_sensitive,11,2,52.6,electronics,popup,False,WA,2026-04-20
sub_00128,new_subscriber,2,0,52.45,beauty,referral,True,NY,2026-04-29
sub_00129,price_sensitive,15,5,40.74,beauty,checkout_optin,True,OH,2026-04-16
sub_00130,high_intent_browser,5,0,0,kids,paid_social,False,WA,2026-04-26
sub_00131,price_sensitive,10,0,55.18,apparel,referral,False,FL,2026-04-21
sub_00132,price_sensitive,19,3,89.11,wellness,referral,True,GA,2026-04-12
sub_00133,new_subscriber,2,1,19.19,beauty,paid_social,False,FL,2026-04-29
sub_00134,post_purchase,8,6,71.67,electronics,loyalty_signup,True,FL,2026-04-23
sub_00135,winback_dormant,122,9,154.08,wellness,popup,False,WA,2025-12-30
sub_00136,high_intent_browser,2,0,24.56,electronics,loyalty_signup,False,MA,2026-04-29
